Demand by Profile,,,
profile,COUNTA of internship_id,AVERAGE of Min Stipend,AVERAGE of Max Stipend
Creative,3359,6741.16,13112.47
Sales,1867,7630.74,14713.37
Tech,1733,8571.38,17745.27
Others,1206,6916.80,13660.06
Exclude,318,473.27,1438.68
Grand Total,8483,7100.85,14051.48
,,,7101-14051
,,,
Top Recruiters,,,
company,COUNTA of internship_id,,
Tisteps Private Limited,292,,
Unknown,207,,
BNM Business Solutions LLP,50,,
Pawzz,38,,
Medius Technologies Private Limited,34,,
Graveiens Eduservices Private Limited,26,,
NDFM Business World Pvt. Ltd.,25,,
Narigiri's Connect To Universe Private Limited,25,,
Cogent Web Services,24,,
Aadi Foundation,24,,
Caarya,23,,
Stirring Minds,22,,
Global Edutech,22,,
DeepThought CultureTech Ventures Private Limited,22,,
Kaushal Ranjeet Private Limited,19,,
Ergode IT Services Private Limited,19,,
Entrepreneur Growth Lab (OPC) Private Limited,19,,
Solvitude,18,,
Coding Junior,18,,
Codecraft IT Solutions,18,,
Cars24 Services Private Limited,18,,
Axe Consultancy And Security Services LLC,18,,
APEX ENGINEERING,18,,
Budding Mariners,17,,
Ayurveda House Private Limited,17,,
NayePankh Foundation,16,,
"Tisteps Private Limited (Chennai, India)",15,,
She Can Foundation,15,,
Pawzz Foundation,15,,
Brandhigh.co,15,,
Nurture Xcel,14,,
LSOYS Games & Apps,14,,
Jarurat Care,14,,
International Institute Of SDGs & Public Policy Research,14,,
Gigde Global Solutions Private Limited,14,,
Basti Ki Pathshala Foundation,14,,
Slingshot,13,,
Lead Mines Media,13,,
Lawtech,13,,
Across The Globe (ATG),13,,
XENZIA,12,,
Break The Code,12,,
Urbanroof,11,,
Times Internet,11,,
The Affordable Organic Store,11,,
Quantazone,11,,
Mindenious Edutech,11,,
InstaWeb Labs Private Limited,11,,
Hamari Pahchan NGO,11,,
Decathlon,11,,
Apport Software Solutions Private Limited,11,,
WeMakeScholars,10,,
Visys Cloud Technologies India Private Limited,10,,
Vikalp India Private Limited,10,,
URE Legal Advocates,10,,
Primetrade.ai,10,,
Peppermint Communications Private Limited,10,,
Namekart,10,,
Inspacco,10,,
Inorbvict Healthcare India Private Limited,10,,
Indika AI Private Limited,10,,
Firststore.io,10,,
EDU SHIKSHAVERTEX PRIVATE LIMITED,10,,
Digital Guruji,10,,
Baweja Media,10,,
AVM Healthcare Products Private Limited,10,,
AI Certs,10,,
Urja Talents,9,,
UNIO Labs,9,,
Unimonks,9,,
Thryve Z,9,,
Nutrachoco,9,,
Money Making Trading Courses,9,,
McKinsey & Company,9,,
EMIAC,9,,
Better,9,,
Argmac,9,,
Wehire Talent Solutions,8,,
Vortexweb.ae,8,,
Value Kare Healthtech LLP,8,,
Uniqgrid,8,,
The Souled Store,8,,
SuperHuman Race Private Limited,8,,
Probey Services Private Limited,8,,
Pro India,8,,
No Gimmick,8,,
Myntra,8,,
Mr n Mrs Pet,8,,
KUNDUZ TECHNOLOGIES PRIVATE LIMITED,8,,
InAmigos Foundation,8,,
Gharpayy,8,,
Emoolar Technology Private Limited,8,,
Eduminatti,8,,
Conscious Humanity Network Foundation,8,,
Calipers Consulting Private Limited,8,,
Brandshark,8,,
ALMI Blogging School Pro (Almi Production Land Solar Private Limited),8,,
X1 Race LLP,7,,
Vexocore IT Services Private Limited,7,,
SuperTails,7,,
Simit Bhagat Studios,7,,
Scope For Change,7,,
Sankar Group,7,,
Right Health India,7,,
Recrivio,7,,
Pixel Media,7,,
Pereyan LLP,7,,
NoBroker Technologies Solutions Private Limited,7,,
HumbleWalking,7,,
HiredNext Recruitment,7,,
Genix Entertainment,7,,
EduAce Services,7,,
Earth5R,7,,
ConversAIlabs,7,,
Confluencr,7,,
Brain Quest,7,,
Weekday,6,,
WeDidIt,6,,
Tenacious Techies,6,,
Techqueto LLP,6,,
Techdome Solutions Private Limited,6,,
Tax-O-Smart LLP,6,,
Talent Corner HR Services,6,,
Shiplee,6,,
SDSR Consultancy Services Private Limited,6,,
Scalar Tech Media,6,,
Rydeu Logistics UG,6,,
Rural Development Society,6,,
RiseUpp Edutech Private Limited,6,,
Reaidy.io,6,,
Qualcomm,6,,
PaySprint Private Limited,6,,
PAN India Group,6,,
Oceedee Shoes,6,,
NoBrokerHood,6,,
Meru Technosoft Private Limited,6,,
Matrix Exports,6,,
Marpu Foundation,6,,
Kraf Ventures,6,,
JK Shah Classes,6,,
IIDE Education Private Limited,6,,
Humanity Founders,6,,
GrrowEzy,6,,
Goldman Sachs,6,,
EzyEV Technologies Private Limited,6,,
Eniacworld Media Private Limited,6,,
Energy Alternatives India,6,,
CyberFrat,6,,
CMT AI,6,,
Clapingo Education Private Limited,6,,
ChargOps Systems Private Limited,6,,
Buzdealz Ventures Private Limited,6,,
Axiom Exports,6,,
Astrotalk,6,,
Artyvis Technologies Private Limited,6,,
Ace 360,6,,
Aanchlik Khabre,6,,
Ziegler Aerospace,5,,
YourKoder OÜ,5,,
Xinterview,5,,
Winway Consultancy Services Private Limited,5,,
Webtwist,5,,
Wayspire Ed-Tech Private Limited,5,,
Warewe Consultancy Private Limited,5,,
Valcon Infotech,5,,
Universal Adventures,5,,
Udaghosh Social Welfare Society,5,,
Trinity Packaging Co. Pvt. Ltd.,5,,
Trading Fox Private Limited,5,,
THW - The Healthy World,5,,
Swiggy Instamart,5,,
Supplybox,5,,
Stayfindz,5,,
