Pay vs. Duration,,,,,,,
Duration,AVERAGE of Max Stipend,COUNTA of internship_id,,,,,
0,0,208,,,,,
1,5392.063492,63,,,,,
2,8500.04,50,,,,,
3,6054.054054,37,,,,,
4,11146.61233,454,,,,,
6,20000,1,,,,,
9,12862.26882,837,,,,,
10,5000,1,,,,,
13,14299.71002,3114,,,,,
17,13330.07748,413,,,,,
22,13296.2963,54,,,,,
26,15903.35513,3227,,,,,
52,14200,5,,,,,
104,11558.82353,17,,,,,
156,9250,2,,,,,
Grand Total,14051.48285,8483,,,,,
,,,,,,,
Stipend by City,,,,,,,
Location,AVERAGE of Max Stipend,,,,,,
Agra,65000,,,,,,
Dhule,58000,,,,,, 
Aligarh,55000,,,,,,
Bangaluru,36000,,,,,,
Ulhasnagar,34750,,,,,,
Ludhiana,25000,,,,,,
Gautam Buddha Nagar,25000,,,,,,
Ambernath,25000,,,,,,
Chennai,24850.54317,,,,,,
Secunderabad,23311.76471,,,,,,
Anantapur,23000,,,,,,
Mangalore,21600,,,,,,
Chandigarh,21250,,,,,,
Coimbatore,20615.38462,,,,,,
Remote,20000,,,,,,
Ambala,18500,,,,,,
Chomu,18000,,,,,,
Bangalore,17568.95304,,,,,,
Bandra,17500,,,,,,
Vadgaon,17000,,,,,,
Dehradun,17000,,,,,,
Faridabad,16410.42708,,,,,,
Palghar,16200,,,,,,
Gurgaon,16093.94404,,,,,,
Koramangala,16000,,,,,,
Hyderabad,15810.36638,,,,,,
Vashi Navi Mumbai,15000,,,,,,
Vasai-Virar,15000,,,,,,
Rohini,15000,,,,,,
Mohali,15000,,,,,,
Bhopal,15000,,,,,,
Anekal,15000,,,,,,
Bhubaneswar,14666.66667,,,,,,
Pimpri-Chinchwad,14333.33333,,,,,,
Mira Bhayandar,14250,,,,,,
Pune,14217.35047,,,,,,
South,14166.66667,,,,,,
Noida,13910.18681,,,,,,
Delhi,13716.98721,,,,,,
Navi Mumbai,13597.56098,,,,,,
Mumbai,13585.87951,,,,,,
Indore,13125,,,,,,
Ghaziabad,13047.61905,,,,,,
Kalyan,13000,,,,,,
Greater Noida,12704.54545,,,,,,
Manesar,12500,,,,,,
Virar,12000,,,,,,
Vasai,12000,,,,,,
Ujjain,12000,,,,,,
Jaipur,11851.56771,,,,,,
Thane,11822.3743,,,,,,
Work from home,11795.05553,,,,,,
Kolkata,11654.56643,,,,,,
Aurangabad,11400,,,,,,
West,11000,,,,,,
Pitampura,11000,,,,,,
Jalandhar,11000,,,,,,
Amritsar,11000,,,,,,
Varanasi,10000,,,,,,
Tambaram Sanatorium,10000,,,,,,
Indiranagar,10000,,,,,,
Dombivli,10000,,,,,,
Bellandur Amanikere,10000,,,,,,
Greater Noida West,9000,,,,,,
Ahmedabad,8717.948718,,,,,,
Udaipur,8000,,,,,,
Kota,8000,,,,,,
Kasavanahalli,8000,,,,,,
Guntur,8000,,,,,,
Agartala,7000,,,,,,
Kolhapur,6500,,,,,,
Kaushambi,6000,,,,,,
Ranchi,5000,,,,,,
Loni Kalbhor,5000,,,,,,
Chakan,5000,,,,,,
Ajmer,3500,,,,,,
Gohana Sub-District,2010,,,,,,
Not Available,0,,,,,,
Maharashtra,0,,,,,,
Durgapur,0,,,,,,
Grand Total,14051.48285,,,,,,
