Location Wise Internships,,
Location,COUNTA of internship_id,COUNTA of internship_id
Work from home,2647,31.20%
Mumbai,971,11.45%
Delhi,938,11.06%
Bangalore,724,8.53%
Chennai,556,6.55%
Pune,428,5.05%
Gurgaon,411,4.84%
Noida,364,4.29%
Hyderabad,232,2.73%
Not Available,207,2.44%
Jaipur,192,2.26%
Thane,179,2.11%
Kolkata,143,1.69%
Faridabad,96,1.13%
Navi Mumbai,82,0.97%
Ghaziabad,42,0.50%
Ahmedabad,39,0.46%
Greater Noida,22,0.26%
Chandigarh,22,0.26%
Secunderabad,17,0.20%
Coimbatore,13,0.15%
Ulhasnagar,12,0.14%
Mangalore,10,0.12%
Aurangabad,10,0.12%
Bhubaneswar,9,0.11%
Indore,8,0.09%
Anantapur,7,0.08%
South,6,0.07%
Pimpri-Chinchwad,6,0.07%
Remote,5,0.06%
Palghar,5,0.06%
Anekal,5,0.06%
Agra,5,0.06%
Mira Bhayandar,4,0.05%
Dombivli,4,0.05%
Amritsar,4,0.05%
Vasai,3,0.04%
Dehradun,3,0.04%
Agartala,3,0.04%
West,2,0.02%
Pitampura,2,0.02%
Manesar,2,0.02%
Dhule,2,0.02%
Bellandur Amanikere,2,0.02%
Bangaluru,2,0.02%
Bandra,2,0.02%
Ambala,2,0.02%
Virar,1,0.01%
Vashi Navi Mumbai,1,0.01%
Vasai-Virar,1,0.01%
Varanasi,1,0.01%
Vadgaon,1,0.01%
Ujjain,1,0.01%
Udaipur,1,0.01%
Tambaram Sanatorium,1,0.01%
Rohini,1,0.01%
Ranchi,1,0.01%
Mohali,1,0.01%
Maharashtra,1,0.01%
Ludhiana,1,0.01%
Loni Kalbhor,1,0.01%
Kota,1,0.01%
Koramangala,1,0.01%
Kolhapur,1,0.01%
Kaushambi,1,0.01%
Kasavanahalli,1,0.01%
Kalyan,1,0.01%
Jalandhar,1,0.01%
Indiranagar,1,0.01%
Guntur,1,0.01%
Greater Noida West,1,0.01%
Gohana Sub-District,1,0.01%
Gautam Buddha Nagar,1,0.01%
Durgapur,1,0.01%
Chomu,1,0.01%
Chakan,1,0.01%
Bhopal,1,0.01%
Ambernath,1,0.01%
Aligarh,1,0.01%
Ajmer,1,0.01%
Grand Total,8483,100.00%
